Layer,Name,GEOID,TNF_2015,TNF_2016,TNF_2017,TNF_2018,TNF_2019,TNF_2021,TNF_2022,TNF_2023
,,,"Public assistance income (cash welfare) (% of households), 2015","Public assistance income (cash welfare) (% of households), 2016","Public assistance income (cash welfare) (% of households), 2017","Public assistance income (cash welfare) (% of households), 2018","Public assistance income (cash welfare) (% of households), 2019","Public assistance income (cash welfare) (% of households), 2021","Public assistance income (cash welfare) (% of households), 2022","Public assistance income (cash welfare) (% of households), 2023"
City,"Chicago, IL",1714000,3.8111369892017786,3.281258005324549,3.0601463212098943,2.827571746919433,2.4874461398904977,4.785364582282102,3.562286100684478,3.2041055703552175
